Date Made Public,Company,City,State,Type of breach,Type of organization,Total Records,Description of incident,Information Source,Source URL,Year of Breach,Latitude,Longitude
4-24-2006,University of Virginia,Charlottesville,Virginia,STAT,EDU,0,"A stolen computer contained the information of students who took engineering classes.  The information included names, grades and student identification numbers.  Hundreds of students are at risk of identity theft since Social Security numbers were used as student identification numbers.",Dataloss DB,,2006,38.029306,-78.476678
05/02/2006,Georgia State Government,Atlanta,Georgia,STAT,GOV,0,"Government surplus computers 
            that sold before their hard drives were erased contained credit card 
            numbers, birth dates, and Social Security numbers of Georgia citizens.  The State stopped selling the computers after being notified by a buyer.  Thousands of patient records from a psychiatric hospital in Rome, Georgia were found on one computer's hard drive.",Dataloss DB,,2006,33.748995,-84.387982
05/05/2006,Wells Fargo,San Francisco,California,STAT,BSF,0,"A computer containing names, 
            addresses, Social Security numbers and mortgage loan deposit numbers 
            of existing and prospective customers may have been stolen while being 
            delivered from one bank facility to another.",Dataloss DB,,2006,37.77493,-122.419416
05/12/2006,Annibell Mortgage Inc.,Sayville,New York,STAT,BSF,300,"Four computers with the personal information of clients were stolen during an early April burglary.  The information did not include credit files, but did have other forms of private customer data.",Dataloss DB,,2006,40.735932,-73.082056
6-14-2006,"American International Group (AIG), Indiana Office of Medical Excess, LLC",New York,New York,STAT,BSF,"9,30,000","The computer server was 
            stolen on March 31 containing personal information including names, 
            Social Security numbers, birth dates, and some medical and disability 
            information. UPDATE (1/12/2010) A 28-year-old Indianapolis man was sentenced today to two years in state
 prison for trying to extort $208,00 from an insurance company after 
stealing a computer server. In March 2006, the man burglarized the 
Indianapolis office of AIG Medical Excess, threatening to release 
clients' personal data on the Internet. The server contained the names 
of more than 900,000 insured persons, as well as their personal 
identifying information, and confidential medical information and e-mail
 communications. At the time of the burglary, the man was an employee of
 a private security firm that provided security services to the 
insurance company. On July 23, 2008, Stewart delivered a package to the 
insurance company. The package included a letter stating that he 
possessed the stolen server and its confidential data. He asked for 
$1,000 a week for four years, but the FBI and others intervened. The 
Indiana State Police, the Indiana Department of Natural Resources, 
Indianapolis Metropolitan Police Department, and Attorney General also 
were part of the investigation.
",Dataloss DB,,2006,40.714269,-74.005973
6-14-2006,"Law Finance Group Holdings, LLC",Reno,Nevada,STAT,BSF,"1,237","On April 7, the organization discovered that a computer server had been stolen from its office.  The equipment stored information on customers, employees, and prospects.  The information included names, Social Security numbers and addresses.",Dataloss DB,,2006,39.529633,-119.813803
6-20-2006,University of Alabama,Birmingham,Alabama,STAT,EDU,"9,800","In February a computer 
            was stolen from a locked office of the kidney transplant program at 
            the University of Alabama at Birmingham that contained confidential 
            information of donors, organ recipients and potential recipients including 
            names, Social Security numbers and medical information.",Dataloss DB,,2006,33.520661,-86.80249
6-21-2006,Lancaster General Hospital,Lancaster,Pennsylvania,STAT,EDU,200,"A desktop computer with 
            personal information of hundreds of doctors was stolen from a locked 
            office June 10. The unencrypted data included names, practice addresses, 
            and SSNS of physicians on medical and dental staff.",Security Breach Letter,,2006,40.037876,-76.305514
6-29-2006,AllState Insurance Huntsville branch,Huntsville,Alabama,STAT,BSF,"27,000","Over Memorial Day weekend, 
            a computer containing personal data including images of insurance 
            policies, correspondence and Social Security numbers was stolen.",Dataloss DB,,2006,34.730369,-86.586104
07/07/2006,City of Hattiesburg,Hattiesburg,Mississippi,STAT,GOV,"2,000","Video surveillance cameras 
            caught 2 intruders stealing hard drives from 18 computers June 23. 
            Data files contained names, addresses, and SSNs of current and former 
            city employees and registered voters as well as bank account information 
            for employees paid through direct deposit and water system customers 
            who paid bills electronically.",Dataloss DB,,2006,31.327119,-89.290339
07/07/2006,Montana Public Health and Human Services Department,Helena,Montana,STAT,MED,0,"A state government computer 
            was stolen from the office of a drug dependency program during a 
            4th of July break-in. It was not known if sensitive information such 
            as SSNs was compromised.",Dataloss DB,,2006,46.600212,-112.014719
7-16-2006,Columbia University,New York,New York,STAT,EDU,78,"On or around July 7, a computer was stolen from campus.  The hard drive contained names, Social Security numbers, passport/visa numbers, tax identification numbers, home and business addresses, telephone contacts and email contacts.",Dataloss DB,,2006,40.714353,-74.005973
7-18-2006,"CS Stars, subsidiary of insurance company Marsh Inc.",Chicago,Illinois,STAT,BSF,"7,22,000","On May 9, CS Stars lost 
            track of a personal computer containing records of more than a half 
            million New Yorkers who made claims to a special workers' comp fund. 
            The lost data includes SSNs and date of birth but apparently no medical 
            information. UPDATE (7/26/06):
            Computer was recovered. UPDATE
            (04/26/07): The  
            New York Attorney General's office  found that CS Stars violated 
            the state's security breach law. CS Stars must pay the Attorney General's 
            office $60,000 for investigation costs. It was determined that the 
            computer had been stolen by an employee of a cleaning contractor, 
            the missing computer was located and recovered, and that the data 
            on the missing computer had not been improperly accessed.",Security Breach Letter,,2006,41.850033,-87.650052
08/09/2006,Hunter College of the City University of New York,New York,New York,STAT,EDU,0,A computer was stolen from the Writing Center in Thomas Hunter Hall on or around July 5.  Its hard drive had a file that contained a list of student names and Social Security numbers. Students who participated in the Spring 2006 CPE intervention session were affected.,Dataloss DB,,2006,40.714353,-74.005973
08/10/2006,Manhasset-Lakeville Fire District,Great Neck,New York,STAT,GOV,300,"A computer was lost or stolen during office renovations.  The computer contained member names, dates of birth, Social Security numbers, addresses and names of beneficiaries. The computer is believed to have been destroyed.",Dataloss DB,,2006,40.800657,-73.728465
8-17-2006,"HCA, Inc. Hospital Corporation of America",Nashville,Tennessee,STAT,MED,0,"10 computers containing 
            Medicare and Medicaid billing information and records of employees 
            and physicians from 1996-2006 were stolen from one of the company's 
            regional offices. Some patient names and SSNs were exposed, but details 
            are vague. Records for patients in hospitals in the following states 
            were affected: CO, KS, LA, MS, OK, OR, TS, WA.",Dataloss DB,,2006,36.16589,-86.784443
8-31-2006,CoreLogic for ComUnity Lending,Sacramento,California,STAT,BSO,0,"In early August, CoreLogic 
            notified customers of ComUnity Lending that a computer with customers' 
            data was stolen from its office. Data included names, SSNs, and property 
            addresses related to an existing or anticipated mortgage loan.",Security Breach Letter,,2006,38.581572,-121.4944
8-31-2006,Labcorp,Monroe,New Jersey,STAT,MED,0,"During a break-in June 4 
            or 5, a computer was stolen that contained names and SSNs, but according 
            to the company did not have birth dates or lab test results.",Dataloss DB,,2006,41.114541,-74.634051
09/08/2006,University of Minnesota,Minneapolis,Minnesota,STAT,EDU,603,"On August 14-15 eve, two 
            computers were stolen from the desk of an Institute of Technology 
            employee, containing information on students who were freshmen from 
            1992-2006 -- including names, birthdates, addresses, phone numbers, 
            high schools attended, student ID numbers, grades, test scores, and, 
            academic probation. SSNs of 603 students were also exposed.",Dataloss DB,,2006,44.979965,-93.263836
09/09/2006,"Action Capital Mortgage Services, Inc.",Poughkeepsie,New York,STAT,BSF,923,An encrypted server was stolen during an August 23 office burglary.  Customer information was lost.,Dataloss DB,,2006,41.700371,-73.92097
9-18-2006,"DePaul Medical Center, Radiation Therapy Department",Norfolk,Virginia,STAT,MED,100,"Two computers were stolen, 
            one on August 28 and the other Sept. 11. Personal data included names, 
            date of birth, treatment information, and some SSNs.",Dataloss DB,,2006,36.846815,-76.285218
9-22-2006,Purdue University College of Science,West Lafayette,Indiana,STAT,EDU,"2,482","A file in a desktop computer 
            in the Chemistry Department may have been accessed illegitimately. 
            The file contained names, SSNs, school, major, and e-mail addresses 
            of people who were students in 2000.",Dataloss DB,,2006,40.425869,-86.908066
9-22-2006,"University of Colorado, Boulder, Leeds School of Business",Boulder,Colorado,STAT,EDU,"1,372","Two computers had been placed 
            in storage during the school's move to temporary quarters in May. 
            When they were to be retrieved Aug. 28, they were found missing. They 
            had been used by 2 faculty members and included students' names, SSNs, 
            and grades.  UPDATE
            (9/25/06): One of the computers was found.",Dataloss DB,,2006,40.014986,-105.270546
9-27-2006,New York Life Insurance Company,Boston,Massachusetts,STAT,BSF,0,"A life insurance agent reported that two desktops were stolen from his office.  Customer names, Social Security numbers, addresses, dates of birth and policy numbers may have been exposed. An unspecified number of customers nationwide were affected.",Dataloss DB,,2006,42.358431,-71.059773
06/10/2005,Federal Deposit Insurance Corp. (FDIC),Washington,District Of Columbia,UNKN,GOV,"6,000","Personal information including the names, birthdays, salaries, and Social Security numbers of former Federal Deposit Insurance Corporation employees was stolen.  Some of the information was used for fraudulent purposes.  Affected employees from as far back as July 2002 were notified.",Dataloss DB,,2005,38.895112,-77.036366
12/12/2005,"Sam's Club, a division of Wal-Mart Stores, Inc",Bentonville,Arkansas,UNKN,BSR,0,"
Customers who used credit cards at the wholesaler's gas stations discovered fraudulent activity on their credit accounts.  Sam's Club is unaware of how the information was stolen.  Visa alerted the affected financial institutions and asked them to provide fraud monitoring services for the affected customers.",Dataloss DB,,2005,36.372854,-94.208817
1-31-2006,Honeywell International,Morristown,New Jersey,UNKN,BSO,"19,000","Personal 
            information of current and former employees including Social Security 
            numbers and bank account information was posted on an Internet Web site. It was not known whether this was the result of a malicious insider or an administrative error.  Current and former employees whose information was compromised were informed immediately and offered free credit monitoring and identity theft insurance.",Dataloss DB,,2006,40.796767,-74.481544
03/02/2006,Olympic Funding,Chicago,Illinois,UNKN,BSF,0,"Three hard drives containing 
            clients' names, Social Security numbers, addresses and phone numbers 
            stolen during a break in.  Information on the drives was protected via password and security software.  The business owner sent letters to his clients alerting them of the theft.",Dataloss DB,,2006,41.850033,-87.650052
03/08/2006,iBill [disputed],Deerfield Beach,Florida,UNKN,BSF,"1,77,81,500","A dishonest insider or possibly 
            malicious software linked to iBill was used to post names, phone numbers, 
            addresses, e-mail addresses, Internet IP addresses, login names and passwords, 
            credit card types and purchase amount online. Credit card account 
            numbers, expiration dates, security codes, and Social Security numbers were NOT included, 
            but in our opinion the affected individuals could be vulnerable to 
            social engineering to obtain such information. Whether iBill is the source of the breach has been disputed.  ",Dataloss DB,,2006,26.318412,-80.099766
3-16-2006,Mortgage Institute of Michigan,Southfield,Michigan,UNKN,BSF,67,"Someone used the Mortgage Institute of Michigan's account to make credit report requests.  Most of the requests were for Experian credit reports.  Equifax suspended the organization's access codes and an FBI investigation began.  The unauthorized user would have had access to customer names, Social Security numbers, home addresses, account numbers, creditor names and payment histories.",Dataloss DB,,2006,42.473369,-83.221873
05/01/2006,"CBCInnovis Bank Inc., Great Florida Bank",Miami,Florida,UNKN,BSF,518,"CBCInnovis, Inc. learned that Great Florida Bank had consumer information accessed without proper authorization.  The information may have included names, addresses, Social Security numbers, names of creditors, account numbers, payment histories and financial public records.",Dataloss DB,,2006,25.788969,-80.226439
5-31-2006,Texas Guaranteed Student Loan Corp. via subcontractor Hummingbird,Round Rock,Texas,UNKN,BSF,"17,00,000","Texas Guaranteed (TG) was 
            notified by subcontractor Hummingbird that on May 24, an employee 
            had lost a piece of equipment containing names and Social Security 
            numbers of TG borrowers. UPDATE 
            (6/16/06):TG now says 
            a total of 1.7 million people's information was compromised, 400,000 
            more than original estimate of 1.3 million.",Dataloss DB,,2006,30.508255,-97.678896
6-13-2006,"U.S. Dept of Energy, Hanford Nucear Reservation",Richland,Washington,UNKN,GOV,"4,000","Current and former workers 
            at the Hanford Nuclear Reservation were notified that their personal information 
            may have been compromised, after police found a 1996 list with workers' 
            names, Social Security numbers, birth dates, work titles, assignments, and telephone numbers in a home during an unrelated investigation.",Dataloss DB,,2006,46.285691,-119.284462
6-23-2006,U.S. Navy,Washington,District Of Columbia,UNKN,GOV,"28,000","Navy personnel were notified 
            on June 22 that a civilian website contained files with personal 
            information of Navy members and dependents including names, birth 
            dates and Social Security numbers.",Dataloss DB,,2006,38.895112,-77.036366
6-23-2006,"CBCInnovis Inc., Andover Bank",Conneaut,Ohio,UNKN,BSF,"1,122","Names, Social Security numbers, addresses, names of creditors, account numbers, payment histories and public records of financial judgments may have been accessed without proper authorization at Andover Bank.",Dataloss DB,,2006,41.947555,-80.554241
6-24-2006,Catawba County Schools,Newton,North Carolina,UNKN,EDU,619,"On June 22, it was discovered 
              that a web site posted names, Social Security numbers, and test 
              scores of students who had taken a keyboarding and computer applications 
              placement test during the 2001-02 school year.
              UPDATE:The web site containing the 
              data has been removed.",Dataloss DB,,2006,35.669855,-81.221471
6-30-2006,National Institutes of Health Federal Credit Union,Rockville,Maryland,UNKN,BSF,"41,000","NIHFCU and law enforcement are investigating the identity theft of some of its 41,000 members. 
            No details were given on the type of information stolen, or how it was stolen.",Media,,2006,39.083997,-77.152758
07/06/2006,Automatic Data Processing (ADP),Roseland,New Jersey,UNKN,BSO,0,"Payroll service company 
            ADP gave scam-artist names, addresses, and number of shares held of 
            investors, although apparently not SSNs or account numbers. The leak 
            occurred from Nov. '05 to Feb. '06 and involved individual investors 
            with 60 companies including Fidelity, UBS, Morgan Stanley, Bear Stearns, 
            Citigroup, Merrill Lynch. Hundreds of thousands of investors may have been affected.",Dataloss DB,,2006,40.820656,-74.293759
08/01/2006,Ron Tonkin Nissan,Portland,Oregon,UNKN,BSR,"16,000","Several months ago the 
              car dealership experienced a security breach affecting the personal 
              information of those who bought cars or applied for credit between 
              2001 and March 2006.",Dataloss DB,,2006,45.523452,-122.676207
10/03/2006,Picatinny Arsenal,Rockaway,New Jersey,UNKN,GOV,0,"28 computers are missing 
            from the Picatinny Arsenal, a Department of Defense Weapons Research 
            Center. The computers were reported lost or stolen over the last two 
            years. None of the computers was encrypted. Officials state the computers 
            did not contain classified information.",Media,,2006,40.90121,-74.514323
10-14-2006,"CBA Information Solutions, Washington Savings Bank",Bowle,Maryland,UNKN,BSF,0,"An unauthorized user gained access to the log in information of Washington Savings Bank.  The unauthorized user could have accessed customer and non-customer names, Social Security numbers, addresses and credit histories. The breach occurred between September 15 and September 21.  At least 20 New York residents were affected, but the nationwide total was not reported.",Dataloss DB,,2006,39.006777,-76.779137
10-16-2006,"VISA, FirstBank (1st Bank)",Lakewood,Colorado,UNKN,BSF,0,"FirstBank sent a letter 
            to an unknown number of customers informing them their FirstTeller 
            Visa Check Card numbers were compromised when someone accessed “a 
            merchant card processor's transaction database.” The FirstBank letter 
            said customers would receive new cards by October 27.",Dataloss DB,,2006,39.70471,-105.081373
01/10/2007,University of Arizona,Tucson,Arizona,UNKN,EDU,0,"Breaches occurred in November 
            and December 2006 that affected services with UA Student Unions, University 
            Library, and UA Procurement and Contracting Services. Some services 
            were shut down for several days.",Dataloss DB,,2007,32.221743,-110.926479
2-27-2007,"CBCInnovis Inc., Hudiburg Chevrolet ",Midwest City,Oklahoma,UNKN,BSR,138,"An unauthorized person gained access to Hudiburg Chevrolet's CBCInnovis account.  The person or persons would have been able to obtain customer names, Social Security numbers, addresses and credit information.",Dataloss DB,,2007,35.449507,-97.396702
3-13-2007,U.S. Department of Agriculture (USDA),Washington,District Of Columbia,UNKN,GOV,0,"A total of 95 USDA 
            computers were lost or stolen between Oct. 1, 2005, and May 31, 2006. 
            Some may have contained personal information such as names, addresses, 
            Social Security numbers and payment information. Two-thirds of the 
            computers contained unencrypted data.",Media,,2007,38.895112,-77.036366
3-29-2007,"Experian, Vallarta Auto Sales",Las Vegas,Nevada,UNKN,BSR,0,"An unauthorized person gained access to Vallarta's Experian account and may have obtained consumer information.  Affected individuals may have had their names, Social Security numbers, dates of birth and addresses exposed. Fourteen New York residents were affected, but the total number of people affected nationwide was not reported.",Dataloss DB,,2007,36.114646,-115.172816
5-25-2007,North Carolina Department of Transportation,Raleigh,North Carolina,UNKN,GOV,"25,000","A computer server 
            used to back up employee identification badge records that included 
            the names and Social Security numbers of NCDOT employees, contractors 
            and other state employees was compromised.",Dataloss DB,,2007,35.772096,-78.638615
5-29-2007,Mytreo.net,Sunnyvale,California,UNKN,BSR,679,"Mytreo.net store customers may have had their personal information compromised.  An individual may have viewed names, Social Security numbers, addresses and encrypted credit card information.  The criminal had not been caught at the time of the report, and their method for accessing customer information was not revealed.",Dataloss DB,,2007,37.36883,-122.03635
6-14-2007,Division of Workforce  Services,Salt Lake City,Utah,UNKN,GOV,"20,000","Children's Social 
            Security numbers are believed to have been compromised by identity 
            thieves.",Media,,2007,40.760779,-111.891047
07/05/2007,Highland University,Las Vegas,New Mexico,UNKN,EDU,420,"A building on the 
            campus had been broken into, and the affected offices might have contained such personal information as Social Security numbers, credit card 
            and bank account information.",Dataloss DB,,2007,35.593933,-105.223897
08/07/2007,Merrill Lynch,Hopewell,New Jersey,UNKN,BSF,"33,000","A computer device 
            apparently was stolen containing sensitive personal information, including 
            Social Security numbers, about some 33,000 employees.",Dataloss DB,,2007,41.049264,-74.549603
8-21-2007,West Virginia Board of Barbers and Cosmetologists,Charleston,West Virginia,UNKN,BSO,0,"Every barber and cosmetologist 
            licensed in the state of West Virginia since 1986 could now potentially 
            be a victim of identity theft. Someone broke into the second floor 
            office of the Board of Barbers and Cosmetologists and stole a safe. 
            The director of the agency says the safe contains the personal information 
            of thousands of hair dressers.",Dataloss DB,,2007,38.34982,-81.632623
8-23-2007,Loomis Chaffee School,Windsor,Connecticut,UNKN,EDU,0,"Valuable computer 
            equipment, including two large storage devices were stolen during 
            a night time burglary from the locked IT facility on campus. The stolen 
            storage devices contained information about some recent graduates 
            of the school, including their names, Social Security numbers, and 
            contact information from their days as students at the school.",Dataloss DB,,2007,41.852598,-72.643702
8-26-2007,American Ex-Prisoners of War,,Texas,UNKN,NGO,"35,000","Personal records including addresses and Social Security numbers of more than 35,000 veterans and their families were stolen this month from the offices of a POW support organization in Texas. Digital and paper records included information on the group's entire membership, including addresses, dates of birth, Social Security numbers and VA claims data.",,,2007,31.968599,-99.901813
09/04/2007,Brevard Public Schools,Viera,Florida,UNKN,EDU,61,"A missing piece 
              of luggage belonging to a state auditor contains the personal information 
              of 61 Brevard Public Schools employees and had district personnel 
              scrambling before the holiday weekend began to notify people that 
              their names and Social Security numbers might be compromised.
            UPDATE (9/21/07): 
              Melbourne International Airport police arrested a 44-year-old defense 
              subcontractor from California on charges of stealing luggage. He 
              is in the Brevard County Jail, facing at least two charges of grand 
              theft.",Media,,2007,28.246955,-80.736999
11/07/2007,Frost Bank,San Antonio,Texas,UNKN,BSF,500,Around five hundred credit or debit card numbers were obtained via unknown means.  Around one hundred were used to make approximately $3000 in contributions to Ron Paul's presidential campaign. It is possible that the identity thieves were testing the cards to see if they were valid.,Dataloss DB,,2007,29.424122,-98.493628
11-30-2007,Prescription Advantage,Boston,Massachusetts,UNKN,MED,"1,50,000","The state of Massachusetts is 
            warning 150,000 members of its Prescription Advantage insurance program 
            that their personal information may have been snatched by an identity 
            thief. Local authorities arrested a lone identity thief who had been 
            using information taken from the program in an attempted identity 
            theft scheme. Although the thief used information from just a small 
            number of participants in the scheme, state data-breach laws require 
            that the 150,000 people who could have possibly been affected by the 
            breach be contacted.",Dataloss DB,,2007,42.358431,-71.059773
12/10/2007,Cameron County,Brownsville,Texas,UNKN,GOV,0,"An employee released an e-mail 
            with a list of all county officials and employees. It reportedly contained 
            names, Social Security numbers, and salaries.",Dataloss DB,,2007,25.901747,-97.497484
01/12/2008," California State University Stanislaus, Sodexho",Turlock,California,UNKN,EDU,0,"A possible data breach occurred 
            on a food vendor's computer server. Credit card numbers, cardholder 
            names and expiration dates were exposed, leaving hundreds, possibly 
            thousands, of university students, staff and guests open to identity 
            theft, with victims reporting fake charges on their cards. Social 
            Security numbers were not accessible.",Dataloss DB,,2008,37.494657,-120.846594
04/04/2008,"University of California, Irvine",Irvine,California,UNKN,EDU,"7,000","7,000 current or former graduate 
            students could be at risk of identity thieves who already used stolen 
            data to file fake tax returns for 93 students. UCI does not know how 
            the information was stolen or who is using it.UPDATE (10/22/10): A class action lawsuit 
against United Healthcare Services was settled. UCI graduate students were affected by a fraudulent tax return scheme after an employee of United Healthcare Services misused their information to file fraudulent tax returns. ",Dataloss DB,,2008,33.669465,-117.823111
4-15-2008,First Federal Bank of California,Los Angeles,California,UNKN,BSF,0,"This bank was not the only financial 
            institute impacted by a security breach that occurred in a banking 
            in a subsystem of a financial data processor, Fiserv, 
            Inc. of Wisconsin last month.The bank said that it was company 
            policy not to reveal any details about the breach including 
            the number of banks involved, how many customers were impacted, the 
            depth of information breached, how extensive the breach was geographically 
            even which federal agencies were involved. However, non-public private 
            account information might be at risk.",Dataloss DB,,2008,34.052234,-118.243685
06/02/2008,Walter Reed Army Medical Center,Washington,District Of Columbia,UNKN,MED,"1,000","Sensitive information on patients 
          at Walter Reed Army Medical Center and other military hospitals was 
          exposed in a security breach. The computer file was found on a ""non-government, non-secure computer network.""  The data file did 
          not include information such as medical records, or the diagnosis or 
          prognosis for patients, but may have included names, Social Security 
          numbers, birth dates as well as other information.",Dataloss DB,,2008,38.895112,-77.036366
7-15-2008,Missouri National Guard,Jefferson City,Missouri,UNKN,GOV,"2,000","The Missouri National Guard has 
            called for a criminal investigation after it learned that the personal 
            information of as many as 2,000 soldiers had been breached. The Guard 
            would not release how the personal information had been taken -- whether 
            by computer hackers or other means -- because it has asked for a full 
            law enforcement investigation into the matter.",Dataloss DB,,2008,38.576702,-92.173516
8-27-2008,YMCA,Champaign,Illinois,UNKN,NGO,0,"Customers who paid for items at 
            a YMCA fund-raiser with checks or credit cards are being warned about 
            a burglary at which credit and debit card numbers were taken.",Media,,2008,40.11642,-88.243383
